year,attendance,capacity,rank,total_teams
2007,17612,18007,13,30
2008,16842,18007,17,30
2009,15429,18007,26,30
2010,13947,18007,27,30
2011,14820,18007,24,30
2012,15498,18007,23,30
2013,15444,18007,26,30
2014,16295,18007,22,30
2015,16176,18007,23,30
2016,17032,18007,19,30
