year,attendance,capacity,rank,total_teams
2007,17230,18007,17,30
2008,17364,18007,17,30
2009,17223,18007,17,30
2010,17995,18007,13,30
2011,16901,18007,16,30
2012,17029,18007,16,30
2013,17819,18007,14,30
2014,16899,18007,19,30
2015,14700,18007,28,30
2016,14095,18007,30,30
