year,attendance,capacity,rank,total_teams
2007,28978,50398,19,30
2008,33127,50398,13,30
2009,32902,50398,11,30
2010,35940,50398,10,30
2011,35923,50398,12,30
2012,32474,50398,13,30
2013,34491,50398,10,30
2014,33090,50398,10,30
2015,31334,50398,14,30
2016,32129,50398,11,30
